article.id,segment_n,PAR,log_value,dist,PAR_diff,stat_sig,percent_diff,season,matrix_type,edge_orient,edge_age_years,finer_scale,SD_SE_CI_V,SD_SE_CI_V_n,notes
71,d,2.66,NA,228,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,1,2.56,NA,226,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,1,4.53,NA,150,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,1,7.79,NA,50,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,1,0.83,NA,30,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,1,0.84,NA,20,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,1,1.48,NA,10,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,1,5.30,NA,0,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,1,69.96,NA,-30,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,2,3.86,NA,190,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,2,1.99,NA,150,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,2,0.77,NA,100,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,2,0.82,NA,50,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,2,0.84,NA,20,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,2,5.29,NA,10,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,2,69.30,NA,0,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,2,115.56,NA,-10,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,b,1.43,NA,75,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,b,0.82,NA,50,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,b,2.10,NA,30,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,b,2.12,NA,10,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,b,5.30,NA,0,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,3,10.30,NA,75,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,3,1.45,NA,50,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,3,3.36,NA,40,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,3,1.48,NA,20,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,3,60.43,NA,0,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,3,102.25,NA,-10,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,4,36.84,NA,-10,NA,NA,NA,winter,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,4,6.66,NA,0,NA,NA,NA,winter,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,4,3.55,NA,10,NA,NA,NA,winter,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,4,0.44,NA,30,NA,NA,NA,winter,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,4,2.22,NA,40,NA,NA,NA,winter,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,4,3.11,NA,53,NA,NA,NA,winter,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,4,3.99,NA,75,NA,NA,NA,winter,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,5,46.16,NA,-10,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,5,12.43,NA,0,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,5,3.11,NA,10,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,5,3.99,NA,20,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,5,2.22,NA,30,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,5,1.33,NA,40,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,5,3.55,NA,50,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,5,2.66,NA,75,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,5,1.33,NA,100,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,5,2.66,NA,150,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,5,1.33,NA,200,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,5,0.89,NA,225,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,6,2.21,NA,225,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,6,2.21,NA,200,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,6,3.54,NA,150,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,6,5.75,NA,100,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,6,5.31,NA,50,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,6,3.98,NA,40,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,6,1.33,NA,30,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,6,1.77,NA,20,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,6,2.66,NA,10,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,6,3.10,NA,0,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,6,24.79,NA,-10,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,7,41.60,NA,-10,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,7,22.57,NA,0,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,7,2.21,NA,10,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,7,0.89,NA,20,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,7,0.89,NA,30,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,7,2.21,NA,40,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,7,4.43,NA,75,NA,NA,NA,winter,pasture,N,NA,NA,NA,NA,mol m-2 week -1
69,1,NA,NA,10,60.54,NA,NA,winter,pasture,N,9,monthly,SE,167.02,comparison to edge.micromol m-2 sec-1
69,1,NA,NA,20,43.84,NA,NA,winter,pasture,N,9,monthly,SE,283.93,comparison to edge.micromol m-2 sec-1
69,1,NA,NA,30,-39.67,NA,NA,winter,pasture,N,9,monthly,SE,233.82,comparison to edge.micromol m-2 sec-1
69,1,NA,NA,40,2.09,NA,NA,winter,pasture,N,9,monthly,SE,108.56,comparison to edge.micromol m-2 sec-1
69,1,NA,NA,50,-6.26,NA,NA,winter,pasture,N,9,monthly,SE,267.22,comparison to edge.micromol m-2 sec-1
69,1,NA,NA,75,194.15,NA,NA,winter,pasture,N,9,monthly,SE,250.53,comparison to edge.micromol m-2 sec-1
69,1,NA,NA,100,135.70,NA,NA,winter,pasture,N,9,monthly,SE,317.33,comparison to edge.micromol m-2 sec-1
69,1,NA,NA,150,344.47,NA,NA,winter,pasture,N,9,monthly,SE,317.33,comparison to edge.micromol m-2 sec-1
69,2,NA,NA,10,-131.52,NA,NA,winter,plantation,N,9,monthly,SE,83.51,comparison to edge.micromol m-2 sec-1
69,2,NA,NA,20,2.09,NA,NA,winter,plantation,N,9,monthly,SE,141.96,comparison to edge.micromol m-2 sec-1
69,2,NA,NA,30,-123.17,NA,NA,winter,plantation,N,9,monthly,SE,158.67,comparison to edge.micromol m-2 sec-1
69,2,NA,NA,40,-31.32,NA,NA,winter,plantation,N,9,monthly,SE,125.26,comparison to edge.micromol m-2 sec-1
69,2,NA,NA,50,-81.42,NA,NA,winter,plantation,N,9,monthly,SE,208.77,comparison to edge.micromol m-2 sec-1
69,2,NA,NA,75,185.80,NA,NA,winter,plantation,N,9,monthly,SE,250.52,comparison to edge.micromol m-2 sec-1
69,2,NA,NA,100,35.49,NA,NA,winter,plantation,N,9,monthly,SE,200.42,comparison to edge.micromol m-2 sec-1
69,2,NA,NA,150,35.49,NA,NA,winter,plantation,N,9,monthly,SE,425.89,comparison to edge.micromol m-2 sec-1
69,3,NA,NA,10,52.19,NA,NA,summer,pasture,N,9,monthly,SE,75.16,comparison to edge.micromol m-2 sec-1
69,3,NA,NA,20,-148.23,NA,NA,summer,pasture,N,9,monthly,SE,442.59,comparison to edge.micromol m-2 sec-1
69,3,NA,NA,30,-89.77,NA,NA,summer,pasture,N,9,monthly,SE,492.69,comparison to edge.micromol m-2 sec-1
69,3,NA,NA,40,-123.17,NA,NA,summer,pasture,N,9,monthly,SE,492.69,comparison to edge.micromol m-2 sec-1
69,3,NA,NA,50,152.40,NA,NA,summer,pasture,N,9,monthly,SE,125.26,comparison to edge.micromol m-2 sec-1
69,3,NA,NA,75,244.26,NA,NA,summer,pasture,N,9,monthly,SE,100.21,comparison to edge.micromol m-2 sec-1
69,3,NA,NA,100,478.08,NA,NA,summer,pasture,N,9,monthly,SE,267.22,comparison to edge.micromol m-2 sec-1
69,3,NA,NA,150,611.69,NA,NA,summer,pasture,N,9,monthly,SE,175.37,comparison to edge.micromol m-2 sec-1
69,4,NA,NA,10,-106.47,NA,NA,summer,plantation,N,9,monthly,SE,425.89,comparison to edge.micromol m-2 sec-1
69,4,NA,NA,20,-131.52,NA,NA,summer,plantation,N,9,monthly,SE,526.10,comparison to edge.micromol m-2 sec-1
69,4,NA,NA,30,2.09,NA,NA,summer,plantation,N,9,monthly,SE,384.14,comparison to edge.micromol m-2 sec-1
69,4,NA,NA,40,85.59,NA,NA,summer,plantation,N,9,monthly,SE,217.11,comparison to edge.micromol m-2 sec-1
69,4,NA,NA,50,402.92,NA,NA,summer,plantation,N,9,monthly,SE,242.17,comparison to edge.micromol m-2 sec-1
69,4,NA,NA,75,93.95,NA,NA,summer,plantation,N,9,monthly,SE,308.98,comparison to edge.micromol m-2 sec-1
69,4,NA,NA,100,169.10,NA,NA,summer,plantation,N,9,monthly,SE,275.57,comparison to edge.micromol m-2 sec-1
69,4,NA,NA,150,43.84,NA,NA,summer,plantation,N,9,monthly,SE,367.43,comparison to edge.micromol m-2 sec-1
58,NA,920.93,NA,-10,NA,NA,NA,NA,pasture,NA,NA,NA,NA,NA,micromol m-2 s-1
58,NA,195.35,NA,0,NA,NA,NA,NA,pasture,NA,NA,NA,NA,NA,micromol m-2 s-1
58,NA,74.42,NA,50,NA,NA,NA,NA,pasture,NA,NA,NA,NA,NA,micromol m-2 s-1
10,NA,247.00,NA,0,NA,NA,NA,spring,NA,NA,NA,NA,SD,214.00,micromol m-2 s-1
10,NA,66.10,NA,120,NA,NA,NA,spring,NA,NA,NA,NA,SD,30.80,micromol m-2 s-1
50,NA,NA,NA,0,NA,NA,0,NA,grassland,NA,NA,NA,NA,NA,comparison to edge
50,NA,NA,NA,15,NA,NA,9,NA,grassland,NA,NA,NA,NA,NA,comparison to edge
50,NA,NA,NA,30,NA,NA,10,NA,grassland,NA,NA,NA,NA,NA,comparison to edge
50,NA,NA,NA,45,NA,NA,9,NA,grassland,NA,NA,NA,NA,NA,comparison to edge
