"","article.id","segment_n","just.dist","edge_age_years","season.f","matrix_type.f","edge_orient.f","percentrh_diff","percentsm_diff","percent_diff","percentPAR_diff","percentst_diff","percentVPD_diff","percentws_diff"
"128",31,NA,5,NA,5,NA,NA,NA,NA,0.02,NA,NA,NA,NA
"129",31,NA,10,NA,5,NA,NA,NA,NA,0.01,NA,NA,NA,NA
"130",31,NA,15,NA,5,NA,NA,NA,NA,0.01,NA,NA,NA,NA
"131",31,NA,20,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA
"132",31,NA,25,NA,5,NA,NA,NA,NA,0.02,NA,NA,NA,NA
"133",31,NA,35,NA,5,NA,NA,NA,NA,0.03,NA,NA,NA,NA
"134",31,NA,45,NA,5,NA,NA,NA,NA,0.03,NA,NA,NA,NA
"135",31,NA,55,NA,5,NA,NA,NA,NA,0.02,NA,NA,NA,NA
"136",31,NA,65,NA,5,NA,NA,NA,NA,0.01,NA,NA,NA,NA
"137",31,NA,75,NA,5,NA,NA,NA,NA,0.02,NA,NA,NA,NA
"138",31,NA,90,NA,5,NA,NA,NA,NA,0.01,NA,NA,NA,NA
"139",31,NA,105,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA
"140",31,NA,120,NA,5,NA,NA,NA,NA,0.02,NA,NA,NA,NA
"141",31,NA,135,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA
"142",31,NA,150,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA
"143",32,NA,-10,15,4,3,NA,-0.104165864703472,-0.113079563282842,0.04,NA,0.32,0.56,6.73
"144",32,NA,0,15,4,3,NA,NA,NA,0.06,NA,NA,NA,2.73
"145",32,NA,10,NA,NA,NA,NA,-0.0392105608476768,0.105170918075648,NA,NA,0.23,0.44,NA
"146",32,NA,250,15,4,3,NA,0,0,0,NA,0,0,0
"147",34,NA,-5,20,1,NA,NA,-0.113079563282842,NA,0.07,NA,NA,NA,NA
"148",34,NA,0,20,1,NA,NA,-0.0768836536133642,NA,0.04,NA,NA,NA,NA
"149",34,NA,30,20,1,NA,NA,0,NA,0,NA,NA,NA,NA
"150",37,NA,-10,90,NA,11,NA,NA,NA,0.84,NA,0.57,5.25,5.22
"151",37,NA,-5,90,NA,11,NA,NA,NA,0.77,NA,0.66,5.6,3.78
"152",37,NA,0,90,NA,11,NA,NA,NA,0.51,NA,0.34,3.6,4.44
"153",37,NA,5,90,NA,11,NA,NA,NA,0.35,NA,-0.08,2.81,0.5
"154",37,NA,10,90,NA,11,NA,NA,NA,0.21,NA,0.1,2.27,1.39
"155",37,NA,20,90,NA,11,NA,NA,NA,0.1,NA,0.09,1.87,0.39
"156",37,NA,40,90,NA,11,NA,NA,NA,-0.02,NA,0.1,-0.06,0
"157",37,NA,80,90,NA,11,NA,NA,NA,0,NA,0,0,0
"158",38,"a",-3,NA,3,NA,NA,NA,NA,0.21,NA,0.72,NA,NA
"159",38,"a",-1,NA,3,NA,NA,NA,NA,0.25,NA,0.78,NA,NA
"160",38,"a",1,NA,3,NA,NA,NA,NA,0.17,NA,0.18,NA,NA
"161",38,"a",3,NA,3,NA,NA,NA,NA,0.07,NA,0.05,NA,NA
"162",38,"a",6,NA,3,NA,NA,NA,NA,0.06,NA,0.02,NA,NA
"163",38,"a",10,NA,3,NA,NA,NA,NA,0.06,NA,0.02,NA,NA
"164",38,"a",20,NA,3,NA,NA,NA,NA,0.03,NA,0.01,NA,NA
"165",38,"a",40,NA,3,NA,NA,NA,NA,0.03,NA,0,NA,NA
"166",38,"a",60,NA,3,NA,NA,NA,NA,0.04,NA,0,NA,NA
"167",38,"a",100,NA,3,NA,NA,NA,NA,0,NA,0,NA,NA
"168",38,"b",-3,NA,3,NA,NA,NA,NA,0.12,NA,0.85,NA,NA
"169",38,"b",-1,NA,3,NA,NA,NA,NA,0.15,NA,0.78,NA,NA
"170",38,"b",1,NA,3,NA,NA,NA,NA,0.16,NA,0.23,NA,NA
"171",38,"b",3,NA,3,NA,NA,NA,NA,0.04,NA,0.19,NA,NA
"172",38,"b",6,NA,3,NA,NA,NA,NA,0.05,NA,0.01,NA,NA
"173",38,"b",10,NA,3,NA,NA,NA,NA,0.04,NA,0.05,NA,NA
"174",38,"b",20,NA,3,NA,NA,NA,NA,0.05,NA,0.04,NA,NA
"175",38,"b",40,NA,3,NA,NA,NA,NA,0.07,NA,0.1,NA,NA
"176",38,"b",60,NA,3,NA,NA,NA,NA,0.03,NA,-0.06,NA,NA
"177",38,"b",100,NA,3,NA,NA,NA,NA,0,NA,0,NA,NA
"178",40,NA,0,NA,1,NA,NA,-0.0768836536133642,-0.139292023574942,0.04,NA,0.04,NA,NA
"179",40,NA,40,NA,1,NA,NA,0,0,0,NA,0,NA,NA
"180",41,"a",0,NA,NA,17,NA,NA,NA,0.03,NA,NA,NA,NA
"181",41,"a",120,NA,NA,17,NA,NA,NA,0,NA,NA,NA,NA
"182",41,"b",0,NA,NA,17,NA,NA,NA,0.13,NA,NA,NA,NA
"183",41,"b",120,NA,NA,17,NA,NA,NA,0,NA,NA,NA,NA
"184",41,"c",0,NA,NA,8,NA,NA,NA,-0.05,NA,NA,NA,NA
"185",41,"c",120,NA,NA,8,NA,NA,NA,0,NA,NA,NA,NA
"186",41,"d",0,NA,NA,11,NA,NA,NA,0.08,NA,NA,NA,NA
"187",41,"d",120,NA,NA,11,NA,NA,NA,0,NA,NA,NA,NA
"188",41,"e",0,NA,NA,11,NA,NA,NA,0.06,NA,NA,NA,NA
"189",41,"e",120,NA,NA,11,NA,NA,NA,0,NA,NA,NA,NA
"190",41,"f",0,NA,NA,17,NA,NA,NA,0,NA,NA,NA,NA
"191",41,"f",120,NA,NA,17,NA,NA,NA,0,NA,NA,NA,NA
"192",41,"g",0,NA,NA,8,NA,NA,NA,0.02,NA,NA,NA,NA
"193",41,"g",120,NA,NA,8,NA,NA,NA,0,NA,NA,NA,NA
"194",41,"h",0,NA,NA,1,NA,NA,NA,-0.06,NA,NA,NA,NA
"195",41,"h",120,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA
"196",41,"i",0,NA,NA,1,NA,NA,NA,0.01,NA,NA,NA,NA
"197",41,"i",120,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA
"198",41,"j",0,NA,NA,4,NA,NA,NA,0.05,NA,NA,NA,NA
"199",41,"j",120,NA,NA,4,NA,NA,NA,0,NA,NA,NA,NA
"200",41,"k",0,NA,NA,4,NA,NA,NA,-0.04,NA,NA,NA,NA
"201",41,"k",120,NA,NA,4,NA,NA,NA,0,NA,NA,NA,NA
"202",43,"1",0,0,NA,1,1,-0.00995016625083195,-0.173040866056638,0.02,NA,NA,NA,NA
"203",43,"1",2,0,NA,1,1,0.0202013400267558,-0.0860688147287718,0.01,NA,NA,NA,NA
"204",43,"1",5,0,NA,1,1,0.0100501670841681,-0.104165864703472,0.01,NA,NA,NA,NA
"205",43,"1",10,0,NA,1,1,0.0100501670841681,-0.0768836536133642,0.01,NA,NA,NA,NA
"206",43,"1",15,0,NA,1,1,0.051271096376024,-0.0392105608476768,0.01,NA,NA,NA,NA
"207",43,"1",25,0,NA,1,1,0.0408107741923882,0.39096812846378,0.01,NA,NA,NA,NA
"208",43,"1",40,0,NA,1,1,0.0100501670841681,0.0304545339535169,0.01,NA,NA,NA,NA
"209",43,"1",60,0,NA,1,1,-0.0392105608476768,-0.104165864703472,0,NA,NA,NA,NA
"210",43,"1",80,0,NA,1,1,0.0100501670841681,0.0832870676749586,0,NA,NA,NA,NA
"211",43,"1",100,0,NA,1,1,0.0100501670841681,-0.048770575499286,0,NA,NA,NA,NA
"212",43,"1",175,0,NA,1,1,0,0,0,NA,NA,NA,NA
"213",43,"2",0,0,NA,1,6,-0.156335183403616,-0.197481202037522,-0.02,NA,NA,NA,NA
"214",43,"2",2,0,NA,1,6,-0.147856211033789,-0.0582354664157513,-0.02,NA,NA,NA,NA
"215",43,"2",5,0,NA,1,6,-0.173040866056638,-0.00995016625083195,-0.02,NA,NA,NA,NA
"216",43,"2",10,0,NA,1,6,-0.147856211033789,0.185304851320366,-0.02,NA,NA,NA,NA
"217",43,"2",15,0,NA,1,6,-0.130641764601194,0.150273798857227,-0.01,NA,NA,NA,NA
"218",43,"2",25,0,NA,1,6,-0.130641764601194,0.150273798857227,-0.01,NA,NA,NA,NA
"219",43,"2",40,0,NA,1,6,-0.121904569079439,-0.104165864703472,0,NA,NA,NA,NA
"220",43,"2",60,0,NA,1,6,-0.113079563282842,-0.0768836536133642,-0.01,NA,NA,NA,NA
"221",43,"2",80,0,NA,1,6,-0.104165864703472,-0.0768836536133642,0,NA,NA,NA,NA
"222",43,"2",100,0,NA,1,6,-0.104165864703472,-0.236620505663147,-0.01,NA,NA,NA,NA
"223",43,"2",175,0,NA,1,6,0,0,0,NA,NA,NA,NA
"224",43,"3",0,0,NA,1,8,-0.197481202037522,-0.393469340287367,0.04,NA,NA,NA,NA
"225",43,"3",2,0,NA,1,8,-0.189415754029813,-0.393469340287367,0.03,NA,NA,NA,NA
